TemplateStr,TemplateTokens,ParameterClasses,ExampleLog,Dataset
onStandStepChanged <*>,"['onStandStepChanged', '<*>']",{1: 'Object::ValueExpression'},onStandStepChanged 3579,healthapp
onExtend:<*> <*> <*> <*>,"['onExtend', ':', '<*>', '<*>', '<*>', '<*>']",{},onExtend:1514038530000 14 0 4,healthapp
onReceive action: <*>,"['onReceive', 'action', ':', '<*>']",{3: 'Other::ClosedSet'},onReceive action: android.intent.action.SCREEN_ON,healthapp
processHandleBroadcastAction action:<*>,"['processHandleBroadcastAction', 'action', ':', '<*>']",{3: 'Object::ValueExpression'},processHandleBroadcastAction action:android.intent.action.SCREEN_ON,healthapp
flush sensor data,"['flush', 'sensor', 'data']",{},flush sensor data,healthapp
getTodayTotalDetailSteps = <*>,"['getTodayTotalDetailSteps', '=', '<*>']",{2: 'Object::ValueExpression'},getTodayTotalDetailSteps = 1514038440000##6993##548365##8661##12266##27164404,healthapp
setTodayTotalDetailSteps=<*>,"['setTodayTotalDetailSteps', '=', '<*>']",{2: 'Object::ValueExpression'},setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954,healthapp
calculateCaloriesWithCache totalCalories=<*>,"['calculateCaloriesWithCache', 'totalCalories', '=', '<*>']",{3: 'Object::ValueExpression'},calculateCaloriesWithCache totalCalories=126775,healthapp
calculateAltitudeWithCache totalAltitude=<*>,"['calculateAltitudeWithCache', 'totalAltitude', '=', '<*>']",{3: 'Object::ValueExpression'},calculateAltitudeWithCache totalAltitude=240,healthapp
REPORT : <*> <*> <*> <*>,"['REPORT', ':', '<*>', '<*>', '<*>', '<*>']","{2: 'Object::ValueExpression', 3: 'Object::ValueExpression', 4: 'Object::ValueExpression', 5: 'Object::ValueExpression'}",REPORT : 7007 5002 150089 240,healthapp
isScreenOn <*>,"['isScreenOn', '<*>']",{1: 'Other::ClosedSet'},isScreenOn true,healthapp
flushTempCacheToDB by stand,"['flushTempCacheToDB', 'by', 'stand']",{},flushTempCacheToDB by stand,healthapp
Alarm uploadStaticsToDB totalSteps=<*>:<*>:<*>:<*>,"['Alarm', 'uploadStaticsToDB', 'totalSteps', '=', '<*>', ':', '<*>', ':', '<*>', ':', '<*>']",{},Alarm uploadStaticsToDB totalSteps=7163Calories:153367Floor:240Distance:5112,healthapp
writeDataToDB size <*>,"['writeDataToDB', 'size', '<*>']",{2: 'Object::ValueExpression'},writeDataToDB size 327,healthapp
"upLoadOneMinuteDataToEngine time=<*>,<*>,<*>,<*>,<*>","['upLoadOneMinuteDataToEngine', 'time', '=', '<*>', ',', '<*>', ',', '<*>', ',', '<*>', ',', '<*>']",{},"upLoadOneMinuteDataToEngine time=25233975,0,93,0,20002",healthapp
<*> packageName = <*>,"['<*>', 'packageName', '=', '<*>']",{0: 'Action'},getBinderPackageName packageName = com.huawei.health,healthapp
insertHiHealthData() checkAppType  <*> appID = <*>,"['insertHiHealthData', '(', ')', 'checkAppType', '<*>', 'appID', '=', '<*>']",{},insertHiHealthData() checkAppType  0 appID = 1,healthapp
"saveHealthDetailData() deviceID = <*>,clientID=<*>,id=<*>","['saveHealthDetailData', '(', ')', 'deviceID', '=', '<*>', ',', 'clientID', '=', '<*>', ',', 'id', '=', '<*>']","{5: 'Object::ComputingResource', 9: 'Object::User'}","saveHealthDetailData() deviceID = 2,clientID=1,id=1",healthapp
"saveStatData() type =<*>,time = <*>,statClient = <*>,who is <*>","['saveStatData', '(', ')', 'type', '=', '<*>', ',', 'time', '=', '<*>', ',', 'statClient', '=', '<*>', ',', 'who', 'is', '<*>']",{9: 'Time::Timestamp'},"saveStatData() type =40002,time = 1513958400000,statClient = 2,who is 1",healthapp
"new date =<*>, type=<*>,<*>,old=<*>","['new', 'date', '=', '<*>', ',', 'type', '=', '<*>', ',', '<*>', ',', 'old', '=', '<*>']",{3: 'Time::Timestamp'},"new date =20171223, type=40002,7163.0,old=6983.0",healthapp
