LineId,Content,EventId
0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,942
1,mod_jk child workerEnv in error state 6,656
2,jk2_init() Found child 6725 in scoreboard slot 10,497
3,jk2_init() Found child 6726 in scoreboard slot 8,497
4,jk2_init() Found child 6728 in scoreboard slot 6,497
5,workerEnv.init() ok /etc/httpd/conf/workers2.properties,942
6,workerEnv.init() ok /etc/httpd/conf/workers2.properties,942
7,workerEnv.init() ok /etc/httpd/conf/workers2.properties,942
8,mod_jk child workerEnv in error state 6,656
9,mod_jk child workerEnv in error state 6,656
10,mod_jk child workerEnv in error state 6,656
11,jk2_init() Found child 6736 in scoreboard slot 10,497
12,jk2_init() Found child 6733 in scoreboard slot 7,497
13,jk2_init() Found child 6734 in scoreboard slot 9,497
14,workerEnv.init() ok /etc/httpd/conf/workers2.properties,942
15,workerEnv.init() ok /etc/httpd/conf/workers2.properties,942
16,mod_jk child workerEnv in error state 6,656
17,jk2_init() Found child 6738 in scoreboard slot 6,497
18,jk2_init() Found child 6741 in scoreboard slot 9,497
19,jk2_init() Found child 6740 in scoreboard slot 7,497
20,jk2_init() Found child 6737 in scoreboard slot 8,497
21,workerEnv.init() ok /etc/httpd/conf/workers2.properties,942
22,workerEnv.init() ok /etc/httpd/conf/workers2.properties,942
23,workerEnv.init() ok /etc/httpd/conf/workers2.properties,942
24,mod_jk child workerEnv in error state 6,656
25,mod_jk child workerEnv in error state 7,656
26,mod_jk child workerEnv in error state 7,656
27,jk2_init() Found child 6748 in scoreboard slot 6,497
28,jk2_init() Found child 6744 in scoreboard slot 10,497
29,jk2_init() Found child 6745 in scoreboard slot 8,497
30,workerEnv.init() ok /etc/httpd/conf/workers2.properties,942
31,workerEnv.init() ok /etc/httpd/conf/workers2.properties,942
32,mod_jk child workerEnv in error state 7,656
33,mod_jk child workerEnv in error state 6,656
34,jk2_init() Found child 6750 in scoreboard slot 7,497
35,jk2_init() Found child 6751 in scoreboard slot 9,497
36,jk2_init() Found child 6752 in scoreboard slot 10,497
37,workerEnv.init() ok /etc/httpd/conf/workers2.properties,942
38,workerEnv.init() ok /etc/httpd/conf/workers2.properties,942
39,mod_jk child workerEnv in error state 7,656
40,mod_jk child workerEnv in error state 6,656
41,jk2_init() Found child 6754 in scoreboard slot 8,497
42,jk2_init() Found child 6755 in scoreboard slot 6,497
43,jk2_init() Found child 6756 in scoreboard slot 7,497
44,workerEnv.init() ok /etc/httpd/conf/workers2.properties,942
45,mod_jk child workerEnv in error state 7,656
46,jk2_init() Found child 6763 in scoreboard slot 10,497
47,jk2_init() Found child 6766 in scoreboard slot 6,497
48,jk2_init() Found child 6767 in scoreboard slot 7,497
49,jk2_init() Found child 6765 in scoreboard slot 8,497
50,workerEnv.init() ok /etc/httpd/conf/workers2.properties,942
51,workerEnv.init() ok /etc/httpd/conf/workers2.properties,942
52,workerEnv.init() ok /etc/httpd/conf/workers2.properties,942
53,workerEnv.init() ok /etc/httpd/conf/workers2.properties,942
54,mod_jk child workerEnv in error state 6,656
55,mod_jk child workerEnv in error state 6,656
56,mod_jk child workerEnv in error state 7,656
57,mod_jk child workerEnv in error state 7,656
58,jk2_init() Found child 6768 in scoreboard slot 9,497
59,workerEnv.init() ok /etc/httpd/conf/workers2.properties,942
60,mod_jk child workerEnv in error state 6,656
61,jk2_init() Found child 8527 in scoreboard slot 10,497
