LineId,Content,EventId
0,Created MRAppMaster for application appattempt_1445144423722_0020_000001,747
1,Executing with tokens:,948
2,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: 20 cluster_timestamp: 1445144423722 } attemptId: 1 } keyId: -127633188)",78
3,Using mapred newApiCommitter.,871
4,OutputCommitter set in config null,732
5,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,1085
6,Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,886
7,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobEventDispatcher,886
8,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskEventDispatcher,886
9,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskAttemptEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskAttemptEventDispatcher,886
10,Registering class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventType for class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventHandler,886
11,Registering class org.apache.hadoop.mapreduce.v2.app.speculate.Speculator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$SpeculatorEventDispatcher,886
12,Registering class org.apache.hadoop.mapreduce.v2.app.rm.ContainerAllocator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerAllocatorRouter,886
13,Registering class org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncher$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerLauncherRouter,886
14,Default file system [hdfs://msra-sa-41:9000],887
15,Default file system [hdfs://msra-sa-41:9000],887
16,Default file system [hdfs://msra-sa-41:9000],887
17,Emitting job history data to the timeline server is not enabled,300
18,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobFinishEvent$Type for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobFinishEventHandler,886
19,loaded properties from hadoop-metrics2.properties,991
20,Scheduled snapshot period at 10 second(s).,785
21,MRAppMaster metrics system started,763
22,Adding job token for job_1445144423722_0020 to jobTokenSecretManager,543
23,Not uberizing job_1445144423722_0020 because: not enabled; too many maps; too much input;,207
24,Input size for job job_1445144423722_0020 = 1256521728. Number of splits = 10,482
25,Number of reduces for job job_1445144423722_0020 = 1,822
26,job_1445144423722_0020Job Transitioned from NEW to INITED,1026
27,"MRAppMaster launching normal, non-uberized, multi-container job job_1445144423722_0020.",315
28,Using callQueue class java.util.concurrent.LinkedBlockingQueue,1007
29,Starting Socket Reader #1 for port 62260,786
30,Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server,823
31,Instantiated MRClientService at MININT-FNANLI5.fareast.corp.microsoft.com/10.86.169.121:62260,646
32,IPC Server Responder: starting,983
33,IPC Server listener on 62260: starting,983
34,Logging to org.slf4j.impl.Log4jLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog,964
35,Http request log for http.requests.mapreduce is not defined,647
36,Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter),562
37,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce,588
38,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context static,588
39,adding path spec: /mapreduce/*,1027
40,adding path spec: /ws/*,1027
41,Jetty bound to port 62267,1008
42,jetty-6.1.26,1133
43,Extract jar:file:/D:/hadoop-2.6.0-localbox/share/hadoop/yarn/hadoop-yarn-common-2.6.0-SNAPSHOT.jar!/webapps/mapreduce to C:\Users\msrabi\AppData\Local\Temp\Jetty_0_0_0_0_62267_mapreduce____.8n7xum\webapp,1156
44,Started HttpServer2$SelectChannelConnectorWithSafeStartup@0.0.0.0:62267,349
45,Web app /mapreduce started at 62267,1028
46,Registered webapp guice modules,824
47,Using callQueue class java.util.concurrent.LinkedBlockingQueue,1007
48,JOB_CREATE job_1445144423722_0020,1167
49,nodeBlacklistingEnabled:true,984
50,maxTaskFailuresPerNode is 3,985
51,blacklistDisablePercent is 33,965
52,Starting Socket Reader #1 for port 62270,786
53,IPC Server listener on 62270: starting,983
54,IPC Server Responder: starting,983
55,Connecting to ResourceManager at msra-sa-41/10.190.173.170:8030,807
56,"maxContainerCapability: <memory:8192, vCores:32>",444
57,queue: default,1174
58,Upper limit on the thread pool size is 500,573
59,yarn.client.max-cached-nodemanagers-proxies : 0,574
60,job_1445144423722_0020Job Transitioned from INITED to SETUP,1026
61,Processing the event EventType: JOB_SETUP,575
62,job_1445144423722_0020Job Transitioned from SETUP to RUNNING,1026
63,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,934
64,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,934
65,task_1445144423722_0020_m_000000 Task Transitioned from NEW to SCHEDULED,1026
66,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,934
67,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,934
68,task_1445144423722_0020_m_000001 Task Transitioned from NEW to SCHEDULED,1026
69,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,934
70,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,934
71,task_1445144423722_0020_m_000002 Task Transitioned from NEW to SCHEDULED,1026
72,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,934
73,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,934
74,task_1445144423722_0020_m_000003 Task Transitioned from NEW to SCHEDULED,1026
75,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,934
76,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,934
77,task_1445144423722_0020_m_000004 Task Transitioned from NEW to SCHEDULED,1026
78,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,934
79,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,934
80,task_1445144423722_0020_m_000005 Task Transitioned from NEW to SCHEDULED,1026
81,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,934
82,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,934
83,task_1445144423722_0020_m_000006 Task Transitioned from NEW to SCHEDULED,1026
84,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,934
85,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,934
86,task_1445144423722_0020_m_000007 Task Transitioned from NEW to SCHEDULED,1026
87,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,934
88,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,934
89,task_1445144423722_0020_m_000008 Task Transitioned from NEW to SCHEDULED,1026
90,Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,934
91,Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,934
92,task_1445144423722_0020_m_000009 Task Transitioned from NEW to SCHEDULED,1026
93,task_1445144423722_0020_r_000000 Task Transitioned from NEW to SCHEDULED,1026
94,attempt_1445144423722_0020_m_000000_0 TaskAttempt Transitioned from NEW to UNASSIGNED,1026
95,attempt_1445144423722_0020_m_000001_0 TaskAttempt Transitioned from NEW to UNASSIGNED,1026
96,attempt_1445144423722_0020_m_000002_0 TaskAttempt Transitioned from NEW to UNASSIGNED,1026
97,attempt_1445144423722_0020_m_000003_0 TaskAttempt Transitioned from NEW to UNASSIGNED,1026
98,attempt_1445144423722_0020_m_000004_0 TaskAttempt Transitioned from NEW to UNASSIGNED,1026
99,attempt_1445144423722_0020_m_000005_0 TaskAttempt Transitioned from NEW to UNASSIGNED,1026
100,attempt_1445144423722_0020_m_000006_0 TaskAttempt Transitioned from NEW to UNASSIGNED,1026
101,attempt_1445144423722_0020_m_000007_0 TaskAttempt Transitioned from NEW to UNASSIGNED,1026
102,attempt_1445144423722_0020_m_000008_0 TaskAttempt Transitioned from NEW to UNASSIGNED,1026
103,attempt_1445144423722_0020_m_000009_0 TaskAttempt Transitioned from NEW to UNASSIGNED,1026
104,attempt_1445144423722_0020_r_000000_0 TaskAttempt Transitioned from NEW to UNASSIGNED,1026
105,"mapResourceRequest:<memory:1024, vCores:1>",854
