LineId,Content,EventId
0,onStandStepChanged 3579,1106
1,onExtend:1514038530000 14 0 4,1154
2,onReceive action: android.intent.action.SCREEN_ON,1052
3,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,738
4,flush sensor data,1066
5,getTodayTotalDetailSteps = 1514038440000##6993##548365##8661##12266##27164404,957
6,setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954,958
7,onStandStepChanged 3579,1106
8,calculateCaloriesWithCache totalCalories=126775,657
9,calculateAltitudeWithCache totalAltitude=240,658
10,REPORT : 7007 5002 150089 240,1164
11,onExtend:1514038530000 0 0 4,1154
12,onStandStepChanged 3579,1106
13,onStandStepChanged 3580,1106
14,onExtend:1514038530000 1 0 4,1154
15,getTodayTotalDetailSteps = 1514038440000##7007##548365##8661##12361##27173954,957
16,setTodayTotalDetailSteps=1514038440000##7008##548365##8661##12456##27174269,958
17,calculateCaloriesWithCache totalCalories=126797,657
18,calculateAltitudeWithCache totalAltitude=240,658
19,REPORT : 7008 5003 150111 240,1164
20,onStandStepChanged 3581,1106
21,onExtend:1514038531000 1 0 4,1154
22,getTodayTotalDetailSteps = 1514038440000##7008##548365##8661##12456##27174269,957
23,setTodayTotalDetailSteps=1514038440000##7009##548365##8661##12551##27174951,958
24,calculateCaloriesWithCache totalCalories=126818,657
25,calculateAltitudeWithCache totalAltitude=240,658
26,REPORT : 7009 5004 150132 240,1164
27,onStandStepChanged 3583,1106
28,onExtend:1514038531000 2 0 4,1154
29,getTodayTotalDetailSteps = 1514038440000##7009##548365##8661##12551##27174951,957
30,setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461,958
31,calculateCaloriesWithCache totalCalories=126861,657
32,calculateAltitudeWithCache totalAltitude=240,658
33,REPORT : 7011 5005 150175 240,1164
34,onStandStepChanged 3584,1106
35,onExtend:1514038532000 1 0 4,1154
36,getTodayTotalDetailSteps = 1514038440000##7011##548365##8661##12646##27175461,957
37,setTodayTotalDetailSteps=1514038440000##7012##548365##8661##12741##27176464,958
38,calculateCaloriesWithCache totalCalories=126882,657
39,calculateAltitudeWithCache totalAltitude=240,658
40,REPORT : 7012 5006 150197 240,1164
41,onStandStepChanged 3585,1106
42,onExtend:1514038533000 1 0 4,1154
43,getTodayTotalDetailSteps = 1514038440000##7012##548365##8661##12741##27176464,957
44,setTodayTotalDetailSteps=1514038440000##7013##548365##8661##12836##27176966,958
45,calculateCaloriesWithCache totalCalories=126904,657
46,calculateAltitudeWithCache totalAltitude=240,658
47,REPORT : 7013 5007 150218 240,1164
48,onStandStepChanged 3586,1106
49,onExtend:1514038533000 1 0 4,1154
50,getTodayTotalDetailSteps = 1514038440000##7013##548365##8661##12836##27176966,957
51,setTodayTotalDetailSteps=1514038440000##7014##548365##8661##12931##27177463,958
52,calculateCaloriesWithCache totalCalories=126925,657
53,calculateAltitudeWithCache totalAltitude=240,658
54,REPORT : 7014 5007 150239 240,1164
55,onStandStepChanged 3587,1106
56,onExtend:1514038534000 1 0 4,1154
57,getTodayTotalDetailSteps = 1514038440000##7014##548365##8661##12931##27177463,957
58,setTodayTotalDetailSteps=1514038440000##7015##548365##8661##13026##27177962,958
59,calculateCaloriesWithCache totalCalories=126947,657
60,calculateAltitudeWithCache totalAltitude=240,658
61,REPORT : 7015 5008 150261 240,1164
62,onStandStepChanged 3588,1106
63,onExtend:1514038535000 1 0 4,1154
64,onReceive action: android.intent.action.SCREEN_OFF,1052
65,onStandStepChanged 3589,1106
66,onExtend:1514038535000 1 0 4,1154
67,getTodayTotalDetailSteps = 1514038440000##7015##548365##8661##13026##27177962,957
68,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13121##27179330,958
69,calculateCaloriesWithCache totalCalories=126989,657
70,calculateAltitudeWithCache totalAltitude=240,658
71,isScreenOn true,1165
72,"screen status unknown,think screen on",585
73,REPORT : 7017 5010 150304 240,1164
74,onReceive action: android.intent.action.SCREEN_ON,1052
75,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,738
76,flush sensor data,1066
77,getTodayTotalDetailSteps = 1514038440000##7017##548365##8661##13121##27179330,957
78,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13216##27179417,958
79,onStandStepChanged 3589,1106
80,calculateCaloriesWithCache totalCalories=126989,657
81,calculateAltitudeWithCache totalAltitude=240,658
82,REPORT : 7017 5010 150304 240,1164
83,onStandStepChanged 3589,1106
84,onExtend:1514038536000 0 0 4,1154
85,onStandStepChanged 3590,1106
86,onExtend:1514038536000 1 0 4,1154
87,getTodayTotalDetailSteps = 1514038440000##7017##548365##8661##13216##27179417,957
88,setTodayTotalDetailSteps=1514038440000##7018##548365##8661##13311##27179732,958
89,calculateCaloriesWithCache totalCalories=127011,657
90,calculateAltitudeWithCache totalAltitude=240,658
91,REPORT : 7018 5010 150325 240,1164
92,onStandStepChanged 3591,1106
93,onExtend:1514038536000 1 0 4,1154
94,getTodayTotalDetailSteps = 1514038440000##7018##548365##8661##13311##27179732,957
95,setTodayTotalDetailSteps=1514038440000##7019##548365##8661##13406##27180468,958
96,calculateCaloriesWithCache totalCalories=127032,657
97,calculateAltitudeWithCache totalAltitude=240,658
98,REPORT : 7019 5011 150346 240,1164
99,onStandStepChanged 3592,1106
100,onExtend:1514038537000 1 0 4,1154
101,getTodayTotalDetailSteps = 1514038440000##7019##548365##8661##13406##27180468,957
102,setTodayTotalDetailSteps=1514038440000##7020##548365##8661##13501##27180976,958
103,calculateCaloriesWithCache totalCalories=127054,657
104,calculateAltitudeWithCache totalAltitude=240,658
105,REPORT : 7020 5012 150368 240,1164
106,onStandStepChanged 3593,1106
107,onExtend:1514038538000 1 0 4,1154
108,getTodayTotalDetailSteps = 1514038440000##7020##548365##8661##13501##27180976,957
109,setTodayTotalDetailSteps=1514038440000##7021##548365##8661##13596##27181971,958
110,calculateCaloriesWithCache totalCalories=127075,657
111,calculateAltitudeWithCache totalAltitude=240,658
112,REPORT : 7021 5012 150389 240,1164
113,onStandStepChanged 3594,1106
114,onExtend:1514038538000 1 0 4,1154
