LineId,Content,EventId
0,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0,112
1,Thermal pressure state: 1 Memory pressure state: 0,460
2,FA||Url||taskID[2019352994] dealloc,780
3,ARPT: 620701.011328: AirPort_Brcm43xx::syncPowerState: WWEN[enabled],559
4,ARPT: 620702.879952: AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],559
5,mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (FE80:0000:0000:0000:D8A5:90FF:FEF5:7FFF),309
6,"ARPT: 620749.901374: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': 0,",113
7,"ARPT: 620750.434035: wl0: wl_update_tcpkeep_seq: Original Seq: 3226706533, Ack: 3871687177, Win size: 4096",245
8,ARPT: 620752.337198: ARPT: Wake Reason: Wake on Scan offload,708
9,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,86
10,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,421
11,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,86
12,"ARPT: 620896.311264: wl0: MDNS: 0 SRV Recs, 0 TXT Recs",515
13,AppleCamIn::systemWakeCall - messageType = 0xE0000340,502
14,"setting hostname to ""authorMacBook-Pro.local""",911
15,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 439034 seconds.  Ignoring.",84
16,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams 7,334
17,[09:21:58.929] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,100
18,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 2450 seconds.  Ignoring.",84
19,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,421
20,AirPort: Link Down on awdl0. Reason 1 (Unspecified).,493
21,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0,112
22,"PM response took 2010 ms (54, powerd)",781
23,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 438666 seconds.  Ignoring.",84
24,"ARPT: 621131.293163: wl0: Roamed or switched channel, reason #8, bssid 5c:50:15:4c:18:13, last RSSI -64",165
25,"ARPT: 621145.554555: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': 0,",113
26,"ARPT: 621146.080894: wl0: wl_update_tcpkeep_seq: Original Seq: 3014995849, Ack: 2590995288, Win size: 4096",245
27,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from 0x4 to 0x8000000000000000,176
28,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 2165 seconds.  Ignoring.",84
29,"com.apple.EscrowSecurityAlert.daily: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 13090 seconds.  Ignoring.",84
30,"IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(true)",151
31,"network_reachability_changed : network is not reachable, netbiosd is shutting down",193
32,CCFile::captureLogRun() Exiting CCFile::captureLogRun,296
33,Thermal pressure state: 1 Memory pressure state: 0,460
34,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 2039 seconds.  Ignoring.",84
35,com.apple.Addres(31211) deny network-outbound /private/var/run/mDNSResponder,254
36,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,421
37,ARPT: 621241.634070: wl0: MDNS: IPV6 Addr: 2607:f140:6000:8:c6b3:1ff:fecd:467f,362
38,AirPort: Link Up on en0,1039
39,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 438274 seconds.  Ignoring.",84
40,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 1849 seconds.  Ignoring.",84
41,Sandbox: com.apple.Addres(31229) deny(1) network-outbound /private/var/run/mDNSResponder,730
42,mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (FE80:0000:0000:0000:D8A5:90FF:FEF5:7FFF),309
43,ARPT: 621342.242614: AirPort_Brcm43xx::platformWoWEnable: WWEN[enable],559
44,AirPort: Link Up on awdl0,1039
45,AppleCamIn::systemWakeCall - messageType = 0xE0000340,502
46,ARPT: 621389.379319: wl0: MDNS: IPV6 Addr: 2607:f140:6000:8:c6b3:1ff:fecd:467f,362
47,AppleThunderboltGenericHAL::earlyWake - complete - took 0 milliseconds,246
48,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 438095 seconds.  Ignoring.",84
49,mDNS_DeregisterInterface: Frequent transitions for interface en0 (2607:F140:6000:0008:C6B3:01FF:FECD:467F),309
50,AppleThunderboltNHIType2::waitForOk2Go2Sx - retries = 7,494
