LineId,Content,EventId
0,"Registered signal handlers for [TERM, HUP, INT]",674
1,"Changing view acls to: yarn,curi",928
2,"Changing modify acls to: yarn,curi",1035
3,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",70
4,"Changing view acls to: yarn,curi",928
5,"Changing modify acls to: yarn,curi",1035
6,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",70
7,Slf4jLogger started,1079
8,Starting remoting,1104
9,Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904],372
10,Successfully started service 'sparkExecutorActorSystem' on port 55904.,583
11,Created local directory at /opt/hdfs/nodemanager/usercache/curi/appcache/application_1485248649253_0147/blockmgr-70293f72-844a-4b39-9ad6-fb0ad7e364e4,908
12,MemoryStore started with capacity 17.7 GB,796
13,Connecting to driver: spark://CoarseGrainedScheduler@10.10.34.11:48069,703
14,Successfully registered with driver,760
15,Starting executor ID 5 on host mesos-slave-07,848
16,Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 40984.,583
17,Server created on 40984,1080
18,Trying to register BlockManager,830
19,Registered BlockManager,1020
20,Got assigned task 0,1081
21,Got assigned task 1,1081
22,Got assigned task 2,1081
23,Got assigned task 3,1081
24,Running task 0.0 in stage 0.0 (TID 0),727
25,Running task 2.0 in stage 0.0 (TID 2),727
26,Running task 1.0 in stage 0.0 (TID 1),727
27,Running task 3.0 in stage 0.0 (TID 3),727
28,Got assigned task 4,1081
29,Running task 4.0 in stage 0.0 (TID 4),727
30,Started reading broadcast variable 9,776
31,"Block broadcast_9_piece0 stored as bytes in memory (estimated size 5.2 KB, free 5.2 KB)",373
32,Reading broadcast variable 9 took 160 ms,831
33,"Block broadcast_9 stored as values in memory (estimated size 8.8 KB, free 14.0 KB)",373
34,"Partition rdd_2_1 not found, computing it",704
35,"Partition rdd_2_3 not found, computing it",704
36,"Partition rdd_2_0 not found, computing it",704
37,"Partition rdd_2_2 not found, computing it",704
38,"Partition rdd_2_4 not found, computing it",704
39,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:21876+7292,1121
40,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:14584+7292,1121
41,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:0+7292,1121
42,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:7292+7292,1121
43,Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:29168+7292,1121
44,Started reading broadcast variable 8,776
45,"Block broadcast_8_piece0 stored as bytes in memory (estimated size 21.4 KB, free 35.4 KB)",373
46,Reading broadcast variable 8 took 19 ms,831
47,"Block broadcast_8 stored as values in memory (estimated size 281.6 KB, free 317.0 KB)",373
48,"mapred.tip.id is deprecated. Instead, use mapreduce.task.id",777
49,"mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id",777
50,"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap",777
51,"mapred.job.id is deprecated. Instead, use mapreduce.job.id",777
52,"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition",777
53,Started reading broadcast variable 0,776
54,"Block broadcast_0_piece0 stored as bytes in memory (estimated size 93.0 B, free 317.1 KB)",373
55,Reading broadcast variable 0 took 21 ms,831
56,"Block broadcast_0 stored as values in memory (estimated size 384.0 B, free 317.5 KB)",373
57,Started reading broadcast variable 4,776
58,"Block broadcast_4_piece0 stored as bytes in memory (estimated size 95.0 B, free 317.6 KB)",373
59,Reading broadcast variable 4 took 18 ms,831
60,"Block broadcast_4 stored as values in memory (estimated size 384.0 B, free 318.0 KB)",373
61,Started reading broadcast variable 3,776
62,"Block broadcast_3_piece0 stored as bytes in memory (estimated size 152.0 B, free 318.1 KB)",373
63,Reading broadcast variable 3 took 17 ms,831
64,"Block broadcast_3 stored as values in memory (estimated size 384.0 B, free 318.5 KB)",373
65,Started reading broadcast variable 1,776
66,"Block broadcast_1_piece0 stored as bytes in memory (estimated size 107.0 B, free 318.6 KB)",373
67,Reading broadcast variable 1 took 16 ms,831
68,"Block broadcast_1 stored as values in memory (estimated size 384.0 B, free 319.0 KB)",373
69,Started reading broadcast variable 2,776
70,"Block broadcast_2_piece0 stored as bytes in memory (estimated size 93.0 B, free 319.0 KB)",373
71,Reading broadcast variable 2 took 16 ms,831
72,"Block broadcast_2 stored as values in memory (estimated size 384.0 B, free 319.4 KB)",373
73,"Times: total = 1072, boot = 856, init = 210, finish = 6",415
74,"Times: total = 1114, boot = 885, init = 223, finish = 6",415
75,"Times: total = 1074, boot = 869, init = 199, finish = 6",415
76,"Times: total = 1078, boot = 851, init = 219, finish = 8",415
77,"Times: total = 1077, boot = 865, init = 206, finish = 6",415
78,"Block rdd_2_2 stored as bytes in memory (estimated size 850.0 B, free 320.3 KB)",373
79,"Block rdd_2_3 stored as bytes in memory (estimated size 930.0 B, free 321.2 KB)",373
80,"Block rdd_2_1 stored as bytes in memory (estimated size 935.0 B, free 322.1 KB)",373
81,"Block rdd_2_0 stored as bytes in memory (estimated size 913.0 B, free 323.0 KB)",373
82,"Block rdd_2_4 stored as bytes in memory (estimated size 890.0 B, free 323.8 KB)",373
83,"Times: total = 38, boot = 11, init = 27, finish = 0",415
84,"Times: total = 42, boot = 12, init = 30, finish = 0",415
85,"Times: total = 41, boot = 15, init = 26, finish = 0",415
86,"Times: total = 40, boot = 7, init = 33, finish = 0",415
87,"Times: total = 42, boot = 13, init = 28, finish = 1",415
88,Finished task 3.0 in stage 0.0 (TID 3). 2703 bytes result sent to driver,328
89,Finished task 1.0 in stage 0.0 (TID 1). 2703 bytes result sent to driver,328
90,Finished task 2.0 in stage 0.0 (TID 2). 2703 bytes result sent to driver,328
91,Finished task 4.0 in stage 0.0 (TID 4). 2703 bytes result sent to driver,328
92,Finished task 0.0 in stage 0.0 (TID 0). 2703 bytes result sent to driver,328
93,Got assigned task 42,1081
94,Running task 0.0 in stage 1.0 (TID 42),727
95,Got assigned task 56,1081
96,Running task 1.0 in stage 1.0 (TID 56),727
97,Got assigned task 69,1081
98,Started reading broadcast variable 10,776
99,Running task 2.0 in stage 1.0 (TID 69),727
100,Got assigned task 78,1081
101,Running task 3.0 in stage 1.0 (TID 78),727
102,Got assigned task 79,1081
103,Running task 4.0 in stage 1.0 (TID 79),727
104,"Block broadcast_10_piece0 stored as bytes in memory (estimated size 5.8 KB, free 329.6 KB)",373
105,Reading broadcast variable 10 took 17 ms,831
106,"Block broadcast_10 stored as values in memory (estimated size 9.6 KB, free 339.2 KB)",373
