LineId,Content,EventId
0,session closed for user root,950
1,session opened for user root by (uid=0),551
2,(root) CMD (run-parts /etc/cron.hourly),1050
3,session closed for user root,950
4,session opened for user root by (uid=0),551
5,(root) CMD (run-parts /etc/cron.hourly),1050
6,session closed for user root,950
7,session opened for user root by (uid=0),551
8,(root) CMD (run-parts /etc/cron.hourly),1050
9,session closed for user root,950
10,session opened for user root by (uid=0),551
11,(root) CMD (run-parts /etc/cron.hourly),1050
12,session closed for user root,950
13,session opened for user root by (uid=0),551
14,(root) CMD (run-parts /etc/cron.hourly),1050
15,session closed for user root,950
16,session opened for user root by (uid=0),551
17,(root) CMD (run-parts /etc/cron.hourly),1050
18,session closed for user root,950
19,session opened for user root by (uid=0),551
20,(root) CMD (run-parts /etc/cron.hourly),1050
21,session closed for user root,950
22,session opened for user root by (uid=0),551
23,(root) CMD (run-parts /etc/cron.hourly),1050
24,session closed for user root,950
25,session opened for user root by (uid=0),551
26,(root) CMD (run-parts /etc/cron.hourly),1050
27,session closed for user root,950
28,session opened for user root by (uid=0),551
29,(root) CMD (run-parts /etc/cron.hourly),1050
30,session closed for user root,950
31,session opened for user root by (uid=0),551
32,(root) CMD (run-parts /etc/cron.hourly),1050
33,session closed for user root,950
34,session opened for user root by (uid=0),551
35,(root) CMD (run-parts /etc/cron.hourly),1050
36,session closed for user root,950
37,session opened for user root by (uid=0),551
38,(root) CMD (run-parts /etc/cron.hourly),1050
39,data_thread() got not answer from any [Thunderbird_A8] datasource,332
40,data_thread() got not answer from any [Thunderbird_B8] datasource,332
41,data_thread() got not answer from any [Thunderbird_C5] datasource,332
42,session closed for user root,950
43,session opened for user root by (uid=0),551
44,(root) CMD (run-parts /etc/cron.hourly),1050
45,"synchronized to 10.100.20.250, stratum 3",923
46,"synchronized to 10.100.28.250, stratum 3",923
47,"synchronized to 10.100.24.250, stratum 3",923
48,data_thread() got not answer from any [Thunderbird_B7] datasource,332
49,"synchronized to 10.100.16.250, stratum 3",923
50,data_thread() got not answer from any [Thunderbird_A4] datasource,332
51,data_thread() got not answer from any [Thunderbird_B4] datasource,332
52,data_thread() got not answer from any [Thunderbird_C8] datasource,332
53,"synchronized to 10.100.18.250, stratum 3",923
54,"synchronized to 10.100.20.250, stratum 3",923
55,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,123
56,"synchronized to 10.100.26.250, stratum 3",923
57,data_thread() got not answer from any [Thunderbird_B3] datasource,332
58,"synchronized to 10.100.18.250, stratum 3",923
59,"synchronized to 10.100.20.250, stratum 3",923
60,data_thread() got not answer from any [Thunderbird_D5] datasource,332
61,"synchronized to 10.100.22.250, stratum 3",923
62,[ib_sm_sweep.c:1455]: No topology change,451
63,[ib_sm_sweep.c:1482]: No configuration change required,320
64,data_thread() got not answer from any [Thunderbird_A1] datasource,332
65,data_thread() got not answer from any [Thunderbird_C2] datasource,332
66,data_thread() got not answer from any [Thunderbird_B1] datasource,332
67,"synchronized to 10.100.18.250, stratum 3",923
68,data_thread() got not answer from any [Thunderbird_A3] datasource,332
69,data_thread() got not answer from any [Thunderbird_A5] datasource,332
70,"synchronized to 10.100.22.250, stratum 3",923
71,"synchronized to 10.100.28.250, stratum 3",923
72,data_thread() got not answer from any [Thunderbird_A6] datasource,332
73,Local disconnected: Connection closed.,636
74,connection lost: 'Connection closed.',569
75,"synchronized to 10.100.20.250, stratum 3",923
76,"synchronized to 10.100.24.250, stratum 3",923
77,data_thread() got not answer from any [Thunderbird_B6] datasource,332
78,data_thread() got not answer from any [Thunderbird_B2] datasource,332
79,data_thread() got not answer from any [Thunderbird_C1] datasource,332
80,data_thread() got not answer from any [Thunderbird_C4] datasource,332
81,data_thread() got not answer from any [Thunderbird_D7] datasource,332
82,data_thread() got not answer from any [Thunderbird_A7] datasource,332
83,"synchronized to 10.100.20.250, stratum 3",923
84,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,123
85,data_thread() got not answer from any [Thunderbird_D6] datasource,332
86,data_thread() got not answer from any [Thunderbird_B5] datasource,332
87,data_thread() got not answer from any [Thunderbird_B8] datasource,332
88,data_thread() got not answer from any [Thunderbird_D4] datasource,332
89,data_thread() got not answer from any [Thunderbird_C6] datasource,332
90,"synchronized to 10.100.26.250, stratum 3",923
91,"synchronized to 10.100.26.250, stratum 3",923
92,data_thread() got not answer from any [Thunderbird_D8] datasource,332
93,[ib_sm_sweep.c:1455]: No topology change,451
94,[ib_sm_sweep.c:1482]: No configuration change required,320
95,unable to qualify my own domain name (eadmin1) -- using short name,259
96,session closed for user root,950
97,"jA9J1UvC004306: from=root, size=629060, class=0, nrcpts=1, msgid=<200511091901.jA9J1UvC004306@eadmin1>, relay=#7#@localhost",202
98,"jA9J1UvC004306: to=root, ctladdr=root (0/0), delay=00:00:01, xdelay=00:00:00, mailer=relay, pri=659060, relay=[127.0.0.1] [127.0.0.1], dsn=4.0.0, stat=Deferred: Connection refused by [127.0.0.1]",37
99,data_thread() got not answer from any [Thunderbird_A2] datasource,332
100,unable to qualify my own domain name (badmin1) -- using short name,259
101,unable to qualify my own domain name (cadmin1) -- using short name,259
102,"synchronized to 10.100.16.250, stratum 3",923
103,unable to qualify my own domain name (dadmin1) -- using short name,259
104,data_thread() got not answer from any [Thunderbird_A8] datasource,332
105,"synchronized to 10.100.22.250, stratum 3",923
106,data_thread() got not answer from any [Thunderbird_B7] datasource,332
107,session closed for user root,950
108,"jA9J1Wd7019391: from=root, size=1594553, class=0, nrcpts=1, msgid=<200511091901.jA9J1Wd7019391@cadmin1>, relay=#7#@localhost",202
109,"jA9J1Wd7019391: to=root, ctladdr=root (0/0), delay=00:00:02, xdelay=00:00:00, mailer=relay, pri=1624553, relay=[127.0.0.1] [127.0.0.1], dsn=4.0.0, stat=Deferred: Connection refused by [127.0.0.1]",37
110,"synchronized to 10.100.20.250, stratum 3",923
111,data_thread() got not answer from any [Thunderbird_A4] datasource,332
112,session closed for user root,950
113,"jA9J1WSU011176: from=root, size=1593894, class=0, nrcpts=1, msgid=<200511091901.jA9J1WSU011176@badmin1>, relay=#7#@localhost",202
114,"jA9J1WSU011176: to=root, ctladdr=root (0/0), delay=00:00:03, xdelay=00:00:00, mailer=relay, pri=1623894, relay=[127.0.0.1] [127.0.0.1], dsn=4.0.0, stat=Deferred: Connection refused by [127.0.0.1]",37
115,session closed for user root,950
116,"jA9J1WFE024258: from=root, size=1597080, class=0, nrcpts=1, msgid=<200511091901.jA9J1WFE024258@dadmin1>, relay=#7#@localhost",202
117,"jA9J1WFE024258: to=root, ctladdr=root (0/0), delay=00:00:03, xdelay=00:00:00, mailer=relay, pri=1627080, relay=[127.0.0.1] [127.0.0.1], dsn=4.0.0, stat=Deferred: Connection refused by [127.0.0.1]",37
118,data_thread() got not answer from any [Thunderbird_C5] datasource,332
119,"synchronized to 10.100.20.250, stratum 3",923
120,data_thread() got not answer from any [Thunderbird_B4] datasource,332
121,data_thread() got not answer from any [Thunderbird_C8] datasource,332
122,data_thread() got not answer from any [Thunderbird_D5] datasource,332
123,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,123
124,unable to qualify my own domain name (aadmin1) -- using short name,259
125,"synchronized to 10.100.20.250, stratum 3",923
126,session closed for user root,950
127,DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1,582
128,DHCPOFFER on 10.100.4.251 to 00:11:43:e3:ba:c3 via eth1,896
129,"jA9J1dQ7016560: from=root, size=1595423, class=0, nrcpts=1, msgid=<200511091901.jA9J1dQ7016560@aadmin1>, relay=#7#@localhost",202
130,"jA9J1dQ7016560: to=root, ctladdr=root (0/0), delay=00:00:02, xdelay=00:00:00, mailer=relay, pri=1625423, relay=[127.0.0.1] [127.0.0.1], dsn=4.0.0, stat=Deferred: Connection refused by [127.0.0.1]",37
131,DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1: network A_net: no free leases,340
132,DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1: network A_net: no free leases,340
133,DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1: network A_net: no free leases,340
134,data_thread() got not answer from any [Thunderbird_B3] datasource,332
135,"synchronized to 10.100.18.250, stratum 3",923
136,[ib_sm_sweep.c:1455]: No topology change,451
137,[ib_sm_sweep.c:1482]: No configuration change required,320
138,DHCPACK on 10.100.4.251 to 00:11:43:e3:ba:c3 via eth1,896
139,DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1,670
140,START: tftp pid=16563 from=10.100.4.251,828
141,DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1: unknown lease 10.100.4.251.,670
142,DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1: unknown lease 10.100.4.251.,670
143,DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1: unknown lease 10.100.4.251.,670
144,"synchronized to 10.100.30.250, stratum 3",923
145,data_thread() got not answer from any [Thunderbird_C2] datasource,332
146,"synchronized to 10.100.20.250, stratum 3",923
147,data_thread() got not answer from any [Thunderbird_B1] datasource,332
148,data_thread() got not answer from any [Thunderbird_A1] datasource,332
149,data_thread() got not answer from any [Thunderbird_C4] datasource,332
150,"synchronized to 10.100.30.250, stratum 3",923
151,"synchronized to 10.100.20.250, stratum 3",923
152,data_thread() got not answer from any [Thunderbird_A5] datasource,332
153,data_thread() got not answer from any [Thunderbird_C1] datasource,332
154,"synchronized to 10.100.20.250, stratum 3",923
155,"synchronized to 10.100.18.250, stratum 3",923
156,"synchronized to 10.100.18.250, stratum 3",923
157,data_thread() got not answer from any [Thunderbird_A6] datasource,332
158,data_thread() got not answer from any [Thunderbird_D7] datasource,332
159,data_thread() got not answer from any [Thunderbird_A3] datasource,332
160,data_thread() got not answer from any [Thunderbird_B6] datasource,332
161,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,123
162,data_thread() got not answer from any [Thunderbird_B2] datasource,332
163,"synchronized to 10.100.22.250, stratum 3",923
164,data_thread() got not answer from any [Thunderbird_B5] datasource,332
165,data_thread() got not answer from any [Thunderbird_D6] datasource,332
166,data_thread() got not answer from any [Thunderbird_D8] datasource,332
